m=20;
n=25;
S =
[
  [ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
  [ 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 ]
  [ 1 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 0 ]
  [ 0 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 0 1 1 0 ]
  [ 1 1 1 1 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 ]
  [ 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 ]
  [ 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 ]
  [ 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 ]
  [ 0 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1 ]
  [ 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 1 ]
  [ 0 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 ]
  [ 1 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 ]
  [ 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 1 0 0 ]
  [ 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 ]
  [ 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 ]
  [ 0 1 0 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 ]
  [ 1 1 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 1 1 0 ]
  [ 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 ]
  [ 1 0 1 1 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 0 ]
  [ 1 0 1 0 0 0 1 1 1 0 1 0 1 1 1 0 1 0 0 0 ]
  [ 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1 ]
  [ 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 ]
  [ 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 ]
  [ 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 1 ]
  [ 1 0 0 1 0 0 1 0 0 1 0 1 1 0 1 1 1 1 1 1 ]
];
